Country,EdLevel,YearsCodePro,Salary
4,0,5.0,96666.0
9,1,3.0,70275.0
7,2,3.0,35444.0
9,0,6.0,29621.0
5,0,6.0,35890.0
3,0,1.0,37796.0
6,2,15.0,71962.0
5,0,8.0,53836.0
9,2,15.0,56773.0
5,0,8.0,14356.0
6,1,4.0,37592.0
6,1,8.0,53703.0
3,2,10.0,53703.0
4,2,7.0,83777.0
4,0,9.0,75184.0
4,2,8.0,69814.0
7,3,2.0,53703.0
5,0,11.0,38283.0
6,2,5.0,48333.0
9,2,7.0,54000.0
4,0,26.0,85925.0
4,2,6.0,64444.0
4,0,3.0,42962.0
9,3,8.0,74052.0
3,2,14.0,91295.0
11,0,6.0,200000.0
9,0,5.0,39494.0
0,0,11.0,92492.0
7,0,8.0,64444.0
8,2,7.0,59073.0
4,1,7.0,65518.0
3,2,18.0,105258.0
5,0,5.0,26798.0
7,1,6.0,53703.0
8,2,26.0,42962.0
4,2,14.0,53703.0
3,0,10.0,24703.0
7,0,6.0,67666.0
4,2,31.0,96666.0
3,3,12.0,38111.0
9,2,2.0,17279.0
10,1,12.0,59872.0
9,2,3.0,47000.0
10,0,15.0,79617.0
5,2,15.0,35890.0
4,2,8.0,75184.0
4,2,3.0,75184.0
3,1,6.0,35444.0
9,0,6.0,37026.0
4,0,6.0,59073.0
9,2,3.0,28880.0
5,0,4.0,11963.0
6,2,4.0,40814.0
9,2,9.0,32954.0
7,0,4.0,48977.0
9,3,23.0,61710.0
4,2,5.0,85925.0
8,1,10.0,71073.0
4,1,8.0,67666.0
10,2,4.0,118471.0
6,1,9.0,42962.0
9,2,4.0,29621.0
10,0,18.0,95541.0
6,0,24.0,91295.0
7,2,14.0,75184.0
4,0,6.0,73788.0
11,2,5.0,150000.0
10,2,15.0,101910.0
9,1,12.0,56000.0
7,0,7.0,64444.0
8,3,4.0,52495.0
8,2,1.0,29000.0
4,2,12.0,85925.0
5,0,10.0,25434.0
10,2,5.0,95541.0
7,0,7.0,64444.0
4,0,4.0,75184.0
9,2,8.0,55000.0
3,0,15.0,112777.0
3,2,10.0,167125.0
4,2,8.0,64444.0
5,0,5.0,23927.0
4,0,9.0,87536.0
7,0,12.0,96666.0
4,2,5.0,105258.0
7,0,12.0,96666.0
7,0,3.0,45111.0
4,3,6.0,75184.0
9,2,15.0,90000.0
4,0,10.0,80555.0
3,2,14.0,67666.0
4,0,6.0,69814.0
6,1,4.0,22555.0
7,0,17.0,85925.0
3,2,2.0,37055.0
9,2,4.0,48000.0
9,2,10.0,64178.0
10,2,27.0,81528.0
3,2,2.0,53703.0
7,0,13.0,107406.0
10,1,6.0,47134.0
3,1,30.0,49407.0
4,2,6.0,75184.0
7,0,12.0,85925.0
4,2,26.0,75184.0
10,0,7.0,70063.0
4,1,20.0,55851.0
4,3,15.0,107406.0
7,0,18.0,68740.0
10,2,3.0,44586.0
7,0,20.0,247034.0
4,1,10.0,75184.0
5,0,1.0,27516.0
8,0,4.0,53488.0
6,2,14.0,48333.0
10,0,11.0,82802.0
10,1,4.0,152865.0
3,2,7.0,38666.0
9,1,4.0,57600.0
6,1,17.0,59073.0
7,1,15.0,45111.0
7,0,15.0,79481.0
3,2,4.0,44037.0
6,2,2.0,32222.0
10,0,24.0,59872.0
9,2,19.0,12515.0
11,1,1.0,60000.0
4,2,9.0,91295.0
